web-scraper-order,web-scraper-start-url,story-link,story-link-href,story-text
"1584588171-298","https://www.rnz.co.nz/news/the-wireless","The battle over Wellington’s ‘ugliest building’","https://www.rnz.co.nz/news/the-wireless/375279/the-battle-over-wellington-s-ugliest-building","Ben Schrader wants Wellington to use its imagination. “I want people to imagine the flats renovated. I want them to imagine them painted. I want people to imagine the windows fixed and the balconies returned to their original red and grey colour,” he says. “This can be an impressive building again.”"
"1584588162-3","https://www.rnz.co.nz/news/the-wireless","In defence of trolls","https://www.rnz.co.nz/news/the-wireless/375275/in-defence-of-trolls","In June 2015, David Farrier wrote an opinion piece called ‘It’s time we admitted Waiheke is terrible’. The headline gave a very apt summation of the subject matter and it would be fair to say the journalist and filmmaker got a reaction; probably the one he was looking for. Proud Waiheke residents bemoaned his contempt of the place, and he has been reliably trolling it ever since."
"1584588169-207","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","***"
"1584588169-98","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","At 21, David Cerven was shot dead by police in what many assumed was 'suicide by cop'. Susan Strongman traces his story of love, debt and despair all the way from Slovakia to the Auckland park where he died."
"1584588169-222","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","Some of the officers, the author writes, are going through hell. “They are stuck in anonymous isolation” waiting on the outcomes of investigations, unable to talk openly about what has happened."
"1584588167-97","https://www.rnz.co.nz/news/the-wireless","Wireless Docs: The Forest of Tiriwa","https://www.rnz.co.nz/news/the-wireless/375277/wireless-docs-the-forest-of-tiriwa",""
"1584588169-159","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","The bag contained a soup spoon, a blue pen, hand sanitiser, a coin, a tissue, a piece of lined paper with bank account and IRD numbers written by hand, a drivers licence and a Slovakian passport."
"1584588169-140","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","His colleagues said he was likeable, always happy and smiling. They joked around on site. Cerven liked to show off his kickboxing moves. They socialised together too: On June 12, they went to Eden Park to watch the Blues play the Highlanders - a photograph shows Cerven with his friends. He's grinning, wearing a new-looking brown zip-up hooded sweatshirt. Other times, they would go to a backpackers’ bar in the CBD for a few drinks and a dance. One of the friends said that although Cerven’s English was not the best, he could talk the hind legs off a donkey."
"1584588169-200","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","The video shows torchlight shining on him from where the two officers stand, about 30 metres down the hill. Cerven paces back and forth. Two more officers have entered the park from behind him."
"1584588176-410","https://www.rnz.co.nz/news/the-wireless","The 1.5 generation","https://www.rnz.co.nz/news/the-wireless/375280/feature-the-1-5-generation","When Wang goes shopping she is almost always reminded that she still has to make an effort to be accepted. “I walk in, I’m invisible and no one greets me. I feel this need to assert my accent. I practice it in my head and make sure I say it without any stutter. When I do, I’m suddenly visible and someone who can now be considered to be greeted, to be helped at the store. It requires so much mental energy but at least I can access the good treatment. Those who speak with accents might not. It’s painful and so sad. And I can relate to that pain.”"
"1584588169-237","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","***"
"1584588165-80","https://www.rnz.co.nz/news/the-wireless","Crime and Punishment: Will freeing more prisoners work?","https://www.rnz.co.nz/news/the-wireless/375276/crime-and-punishment-will-freeing-more-prisoners-work","Money admits that she and Little are somewhat on the same page - neither want to see people reoffending. But she says they have come from a different starting point: Money is staunchly on the side of the victims. “Everyday I spend time with survivors of the most horrific crimes… Some of those people that commit those crimes should never be allowed out.”"
"1584588174-381","https://www.rnz.co.nz/news/the-wireless","The kids left bed-bound by chronic fatigue","https://www.rnz.co.nz/news/the-wireless/375278/the-children-left-bed-bound-by-fatigue",""
"1584588171-281","https://www.rnz.co.nz/news/the-wireless","The battle over Wellington’s ‘ugliest building’","https://www.rnz.co.nz/news/the-wireless/375279/the-battle-over-wellington-s-ugliest-building","The flats were built in the late 1950s as an urgent symbol of renewal. 
Photo: Wellington City Archives"
"1584588171-277","https://www.rnz.co.nz/news/the-wireless","The battle over Wellington’s ‘ugliest building’","https://www.rnz.co.nz/news/the-wireless/375279/the-battle-over-wellington-s-ugliest-building","The flats opened under the Second Labour Government in 1959, and new tenants - mostly young, immigrant families - were selected from about 500 applications."
"1584588171-326","https://www.rnz.co.nz/news/the-wireless","The battle over Wellington’s ‘ugliest building’","https://www.rnz.co.nz/news/the-wireless/375279/the-battle-over-wellington-s-ugliest-building","“We must respect the history of buildings and their heritage, but we can’t be entrapped by them. That’s what these flats are doing. We’re being entrapped by a failed experiment in social housing that resulted in a building that is now imposing itself on the city and not adding any value.”"
"1584588169-145","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","At work, he asked colleagues about guns - did they own them? Did their friends own them? Was it easy to get a gun in New Zealand? What were the laws?"
"1584588169-244","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","Youthline: 0800 376 633 (24/7) or free text 234 (8am-12am), or email talk@youthline.co.nz"
"1584588174-377","https://www.rnz.co.nz/news/the-wireless","The kids left bed-bound by chronic fatigue","https://www.rnz.co.nz/news/the-wireless/375278/the-children-left-bed-bound-by-fatigue","Working with children who have ME/CFS and helping them to manage their condition can have its own set of challenges, as Teresa found. “They had to learn that they could keep active so long as it was within their ‘energy envelope’,” she says. “That might mean telling them that they should do 50 percent of what they might think they can do. Which is really hard with kids, to try and stop them before they get exhausted. Because they just want to go if they can, but then they might not be able to do anything for another three or four days.”"
"1584588171-285","https://www.rnz.co.nz/news/the-wireless","The battle over Wellington’s ‘ugliest building’","https://www.rnz.co.nz/news/the-wireless/375279/the-battle-over-wellington-s-ugliest-building","In May, 2012, over seven days, everyone was moved out. The concrete facade had wasted to the point where engineers feared it might topple in a strong wind. In 2014, the government happily sold the building to Victoria University."
"1584588171-343","https://www.rnz.co.nz/news/the-wireless","The battle over Wellington’s ‘ugliest building’","https://www.rnz.co.nz/news/the-wireless/375279/the-battle-over-wellington-s-ugliest-building","“It looks nicer than where I live,” an English voice jokes. “But it’s still grotesque.”"
"1584588171-256","https://www.rnz.co.nz/news/the-wireless","The battle over Wellington’s ‘ugliest building’","https://www.rnz.co.nz/news/the-wireless/375279/the-battle-over-wellington-s-ugliest-building","Six years ago, the former state housing complex was diagnosed with “concrete cancer” and evacuated. Its paint has since faded, much of its glass has smashed, and chunks of concrete have crumbled and fallen from a facade covered in graffiti."
"1584588169-158","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","On August 1, the man in the brown hoodie entered the Pinewood Dairy in Browns Bay. He wrestled with the shopkeeper, before fleeing the scene. In the struggle, he dropped the Puma bag, a knife, and a pair of black knock-off Wayfarers with purple arms."
"1584588171-308","https://www.rnz.co.nz/news/the-wireless","The battle over Wellington’s ‘ugliest building’","https://www.rnz.co.nz/news/the-wireless/375279/the-battle-over-wellington-s-ugliest-building","She believes the most practical solution is for the building to return to its original purpose - social housing. “We’re in the midst of a housing crisis and here you’ve got 87 dwellings in a great location that fits the type of housing we want. You’re not going to be able to build something this high in this place again,” she says."
"1584588178-419","https://www.rnz.co.nz/news/the-wireless","How getting a job turned into a series of tests","https://www.rnz.co.nz/news/the-wireless/375283/how-getting-a-job-turned-into-a-series-of-tests","A month after first applying in mid-December 2017, Oldfield was asked if he could take on an extra week’s work before the Census started; on January 31, seven weeks after first applying, he was told he was actually no longer required until after Census Day, and would be placed on a part-paid standby role. He would have to keep his schedule clear in case he was needed."
"1584588180-460","https://www.rnz.co.nz/news/the-wireless","How I swapped crime for Krump","https://www.rnz.co.nz/news/the-wireless/375281/william-rakena-how-i-swapped-crime-for-krump","But I wouldn’t be the person I am today if it wasn’t for my aunty, Valencia. She was one of the main reasons why I changed my ways. And also because when I first started Massey High School, I took a dance class, which I liked. As time went by some of those teachers said they saw potential in me. Dance kept me busy as. All I thought about after dance was wanting to shower and sleep, get up the next day and do it again."
"1584588165-31","https://www.rnz.co.nz/news/the-wireless","Crime and Punishment: Will freeing more prisoners work?","https://www.rnz.co.nz/news/the-wireless/375276/crime-and-punishment-will-freeing-more-prisoners-work","That night, on the six o’clock news, Norm told New Zealanders: “I’m sick of this crap that’s going on in our society and I’m gonna do something about it.” He started a petition that gathered enough signatures (he remembers there being about 350,000 all up) to force a referendum. In 1999, 92 percent of people voted ‘yes’ to the question, 'Should there be a reform of our justice system placing greater emphasis on the needs of victims, providing restitution and compensation for them and imposing minimum sentences and hard labour for all serious violent offences?'"
"1584588171-268","https://www.rnz.co.nz/news/the-wireless","The battle over Wellington’s ‘ugliest building’","https://www.rnz.co.nz/news/the-wireless/375279/the-battle-over-wellington-s-ugliest-building","“I find Wellington to be a fascinating, eclectic mix of ideas and designs, from the colonial cottages in Thorndon to the modern buildings on Lambton Quay.”"
"1584588174-378","https://www.rnz.co.nz/news/the-wireless","The kids left bed-bound by chronic fatigue","https://www.rnz.co.nz/news/the-wireless/375278/the-children-left-bed-bound-by-fatigue","Teresa’s younger two have now recovered and are back at school – both are academically ahead, too. And while her oldest daughter, now a young woman, has improved a lot, she is still unable to work."
"1584588174-375","https://www.rnz.co.nz/news/the-wireless","The kids left bed-bound by chronic fatigue","https://www.rnz.co.nz/news/the-wireless/375278/the-children-left-bed-bound-by-fatigue","Follas set up Towards Wellness because prior to getting a formal diagnosis of ME/CFS (which took three years), her doctor diagnosed her with clinical depression. “With a background in psychology I knew it was not depression and felt deep concern that others in the same boat were being thrown into a psychiatric basket. I made a promise to myself that day that if I ever found a way out of this health crisis I would do what I could to ensure an easier path for others.”"
"1584588171-291","https://www.rnz.co.nz/news/the-wireless","The battle over Wellington’s ‘ugliest building’","https://www.rnz.co.nz/news/the-wireless/375279/the-battle-over-wellington-s-ugliest-building","Victoria University Vice-Chancellor Grant Guilford. 
Photo: Rebekah Parsons-King"
"1584588162-6","https://www.rnz.co.nz/news/the-wireless","In defence of trolls","https://www.rnz.co.nz/news/the-wireless/375275/in-defence-of-trolls","David Farrier  
Photo: Dan Rutledge"
"1584588171-336","https://www.rnz.co.nz/news/the-wireless","The battle over Wellington’s ‘ugliest building’","https://www.rnz.co.nz/news/the-wireless/375279/the-battle-over-wellington-s-ugliest-building","***"
"1584588169-243","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","Samaritans: 0800 726 666 (24/7)"
"1584588169-238","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","Where to get help:"
"1584588165-87","https://www.rnz.co.nz/news/the-wireless","Crime and Punishment: Will freeing more prisoners work?","https://www.rnz.co.nz/news/the-wireless/375276/crime-and-punishment-will-freeing-more-prisoners-work","In July, his first attempt failed. A proposed repeal of the three strikes law was unable to be brought before cabinet without the vital support of New Zealand First. On the morning the matter was to be tabled, a full-page advert from the Sensible Sentencing Trust ran in the New Zealand Herald. The ad showed a letter, signed by victims of violent crimes and their families (including Norm Withers), in which the trust urged Little: “Please do not do this. We are living breathing people and the representatives of the dead and future victims, not collateral damage arising from your ill considered politics.”"
"1584588178-422","https://www.rnz.co.nz/news/the-wireless","How getting a job turned into a series of tests","https://www.rnz.co.nz/news/the-wireless/375283/how-getting-a-job-turned-into-a-series-of-tests","The normalisation of pre-employment testing is his main concern. “I think recruitment companies are allowed to get away with processes that are unnecessarily long and without penalty. There’s no controlling that kind of ridiculous behaviour and it preys on people’s vulnerabilities.”"
"1584588169-203","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","William Peters was putting his washing out on the balcony of his ground level apartment, which overlooked the park. His children were inside. Cerven was about 20 metres from where Peters stood, pacing back and forth on the slope. Peters saw the reflective strips of Cerven’s raincoat glowing in the police torch light. He heard a shout: “Armed police, get down,” and watched as Cerven pulled his hands from his pockets and clasped them together, outstretched in front of his body like he was pointing a gun."
"1584588165-58","https://www.rnz.co.nz/news/the-wireless","Crime and Punishment: Will freeing more prisoners work?","https://www.rnz.co.nz/news/the-wireless/375276/crime-and-punishment-will-freeing-more-prisoners-work","Academic and former newspaper editor Judy McGregor says crime stories often come from a single source, portray victims as celebrities, heighten emotion and include calls for retribution. The longstanding media tradition of, ‘If it bleeds, it leads’, highlights this, and overseas, one-off, serious criminal events have generated pro-punitive movements that have derailed reform programmes completely."
"1584588169-113","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","David Cerven was born in 1994 in the small Slovakian town of Dolny Kubin, which lies on the banks of the Orava river, an hour’s drive from the Polish border."
"1584588169-123","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","His dream of moving to the US never eventuated. Instead, in March 2015, he and Vyrvova travelled to New Zealand on one-year working holiday visas."
"1584588169-241","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","Suicide Crisis Helpline: 0508 828 865 / 0508 TAUTOKO (24/7). This is a service for people who may be thinking about suicide, or those who are concerned about family or friends."
"1584588169-124","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","***"
"1584588174-353","https://www.rnz.co.nz/news/the-wireless","The kids left bed-bound by chronic fatigue","https://www.rnz.co.nz/news/the-wireless/375278/the-children-left-bed-bound-by-fatigue","In New Zealand, it’s thought between 20,000 and 25,000 people have ME/CFS. Children aren't spared: the global prevalence among children and teenagers is estimated to be between one and five in 1000, meaning about 3000 New Zealand kids could be affected."
"1584588169-116","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","In Vancouver, he stayed with Renata Marko, a friend of his mother's. ""He was well brought up, very helpful, very human. Everybody liked him,"" Marko said of Cerven. He loved Marko's two little dogs. “My chihuahuas,” he called them."
"1584588171-312","https://www.rnz.co.nz/news/the-wireless","The battle over Wellington’s ‘ugliest building’","https://www.rnz.co.nz/news/the-wireless/375279/the-battle-over-wellington-s-ugliest-building","***"
"1584588171-334","https://www.rnz.co.nz/news/the-wireless","The battle over Wellington’s ‘ugliest building’","https://www.rnz.co.nz/news/the-wireless/375279/the-battle-over-wellington-s-ugliest-building","McCarthy is not a fan. “We would still lose the physical heritage,” she says. “And no one can live in virtual reality.”"
"1584588162-18","https://www.rnz.co.nz/news/the-wireless","In defence of trolls","https://www.rnz.co.nz/news/the-wireless/375275/in-defence-of-trolls","She was surprised to find benefits to trolling beyond entertainment value: the increased traffic they brought to sites; the interest they generated and the number of shares after humorous exchanges became stamped on the internet in the form of memes."
"1584588178-432","https://www.rnz.co.nz/news/the-wireless","How getting a job turned into a series of tests","https://www.rnz.co.nz/news/the-wireless/375283/how-getting-a-job-turned-into-a-series-of-tests","Several years later, when she was working as a journalist, Antarctica New Zealand had scrapped the test and its sympathetic communications manager gave Pearson a new chance to go to the ice to report. She went: there were no mishaps."
"1584588180-466","https://www.rnz.co.nz/news/the-wireless","How I swapped crime for Krump","https://www.rnz.co.nz/news/the-wireless/375281/william-rakena-how-i-swapped-crime-for-krump","- As told to Kate Newton"
"1584588162-14","https://www.rnz.co.nz/news/the-wireless","In defence of trolls","https://www.rnz.co.nz/news/the-wireless/375275/in-defence-of-trolls","Hers is potentially important research at a time when internet behaviour still has grey areas. She says recognising the cyber bullies among the trolls will help create clear legislation and ultimately protect us and our young people. She doesn’t believe there should be laws against trolls. “For sure, it is not okay to harass someone, but if someone is trying to correct your grammar online, I don’t think we need a law against that,"" she says. ""We have to have thick skin.”"
"1584588178-451","https://www.rnz.co.nz/news/the-wireless","How getting a job turned into a series of tests","https://www.rnz.co.nz/news/the-wireless/375283/how-getting-a-job-turned-into-a-series-of-tests","In other words, pre-employment drug screening can be seen as morality-based screening. “[It’s assuming] anyone who has used a substance is dependent on that substance and is likely to be a risk to the employer. That prevents people who are in recovery themselves from having a place to work. It sets up stigma around people; employment is a massive factor in someone’s recovery,” he says. Employment is also a significant protective factor in keeping someone drug-free."
"1584588169-104","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","After confession, the 21-year-old hobbled along Wyndham St, down the hill past the post office with the sleeping streeties cocooned in blankets on flattened cardboard boxes. It was cool. A misty drizzle fell on the grey, gum-pocked pavement."
"1584588178-436","https://www.rnz.co.nz/news/the-wireless","How getting a job turned into a series of tests","https://www.rnz.co.nz/news/the-wireless/375283/how-getting-a-job-turned-into-a-series-of-tests","Sophie Ricketts is an area manager for a large New Zealand-owned company, and has been involved in recruitment for the past six years; she estimates she’s had a hand in hiring 50 people just in the last year. She says prospective employees do face a barrage of testing, but the company would never use such measures in isolation."
"1584588165-76","https://www.rnz.co.nz/news/the-wireless","Crime and Punishment: Will freeing more prisoners work?","https://www.rnz.co.nz/news/the-wireless/375276/crime-and-punishment-will-freeing-more-prisoners-work","He is still angry about the attack on his mother. She needed 75 stitches in her face and head. He says it ruined her life, and he still thinks New Zealand’s laws are not punitive enough: “I don’t want to sound like a redneck, but I’ve said it all along: Singapore has got the answer [corporal punishment in the form of caning]. You know the rules over there, and if you break them, you pay the penalty.”"
"1584588171-289","https://www.rnz.co.nz/news/the-wireless","The battle over Wellington’s ‘ugliest building’","https://www.rnz.co.nz/news/the-wireless/375279/the-battle-over-wellington-s-ugliest-building","Victoria University’s iconic centrepiece, the Hunter Building, should not be compared with the Gordon Wilson Flats, though, the Vice-Chancellor says. “The flats are dysfunctional, lacking aesthetic qualities, and will remain this way over time. I’ll be pleased to see the building gone once we have that opportunity.”"
"1584588169-101","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven",""
"1584588180-464","https://www.rnz.co.nz/news/the-wireless","How I swapped crime for Krump","https://www.rnz.co.nz/news/the-wireless/375281/william-rakena-how-i-swapped-crime-for-krump","Last night I was talking about it with my aunty. Me going over there [to the world championships in Phoenix, Arizona, USA], it didn’t really hit me. I still feel like I’m training for a gig or something. But as I was talking about it, I was like damn, it’s soon and I’m scared as, cos I don’t want to be that one person that mucks up in the set. But it’s real exciting it’s almost here. I’ll be heading over there with IDentity Dance Company and competing in the mega crews division. Our crew’s called YUNG ID. We’re from all over - Tauranga, Whangarei, West Auckland, South Auckland, North Shore."
"1584588178-442","https://www.rnz.co.nz/news/the-wireless","How getting a job turned into a series of tests","https://www.rnz.co.nz/news/the-wireless/375283/how-getting-a-job-turned-into-a-series-of-tests","“It’s that whole thing of having to balance the humanistic side of dealing with real people and knowing they are more than just business – and the fact that we do run a business and it’s a very big investment every time we hire someone. Without sounding cold and calculating, it’s a long time for that investment to be paid back – well beyond the 90-day period.”"
"1584588176-408","https://www.rnz.co.nz/news/the-wireless","The 1.5 generation","https://www.rnz.co.nz/news/the-wireless/375280/feature-the-1-5-generation","Ruth Wang, an oral health therapist and motorcycle enthusiast, is also part of the Asian diaspora. Born in the United States to Taiwanese parents she has faced plenty of prejudice. “When you’re 1.5, people can never get it right. No one knows where to put you. There is like this process where first, I’m profiled as a fob [fresh off the boat] and I have to work to dissociate from those stereotypes.”"
"1584588169-206","https://www.rnz.co.nz/news/the-wireless","The life and death of David Cerven","https://www.rnz.co.nz/news/the-wireless/375259/the-life-and-death-of-david-cerven","In the grainy video, the orange clad figure falls to the ground. The timestamp is 7.45pm."
"1584588171-338","https://www.rnz.co.nz/news/the-wireless","The battle over Wellington’s ‘ugliest building’","https://www.rnz.co.nz/news/the-wireless/375279/the-battle-over-wellington-s-ugliest-building","Looking at beautiful buildings, like older churches and libraries, can have positive effects on mental state, and spark contemplation and personal reflection, it found."
"1584588171-305","https://www.rnz.co.nz/news/the-wireless","The battle over Wellington’s ‘ugliest building’","https://www.rnz.co.nz/news/the-wireless/375279/the-battle-over-wellington-s-ugliest-building","“Plus, it’s just not feasible for student accommodation considering its open walkways and balconies; and we couldn’t get enough people into it for it to be cost-effective.”"
